Occurrences,Scientific name,Kingdom,Phylum,Class,Order,Family,Genus,Species
40,Polyporus radicatus Schwein.,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Polyporus,Polyporus radicatus
40,Trichaptum abietinum (Pers. ex J.F.Gmel.) Ryvarden,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,,Trichaptum,Trichaptum abietinum
40,Aleurodiscus amorphus (Pers.) J.Schröt.,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Aleurodiscus,Aleurodiscus amorphus
39,Hypholoma capnoides (Fr.) P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Hypholoma,Hypholoma capnoides
38,Cortinarius malicorius Fr.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius malicorius
38,Lacrymaria lacrymabunda (Bull.) Pat.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Lacrymaria,Lacrymaria lacrymabunda
38,Amanita bisporigera G.F.Atk.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita bisporigera
38,Lactarius indigo (Schwein.) Fr.,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius indigo
38,Amanita rubescens Pers.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita rubescens
37,Hygrocybe cuspidata (Peck) Murrill,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrocybe,Hygrocybe cuspidata
36,Hemistropharia albocrenulata (Peck) Jacobsson & E.Larss.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tubariaceae,Hemistropharia,Hemistropharia albocrenulata
36,"Parasola plicatilis (Curtis) Redhead, Vilgalys & Hopple",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Parasola,Parasola plicatilis
36,Hygrocybe punicea (Fr.) P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrocybe,Hygrocybe punicea
36,Fomitopsis pinicola (Sw.) P.Karst.,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Fomitopsis,Fomitopsis pinicola
36,Multiclavula mucida (Pers.) R.H.Petersen,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Multiclavula,Multiclavula mucida
35,Chondrostereum purpureum (Pers.) Pouzar,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cyphellaceae,Chondrostereum,Chondrostereum purpureum
35,Cystoderma amianthinum (Scop.) Fayod,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Cystoderma,Cystoderma amianthinum
35,Cerioporus varius (Pers.) Zmitr. & Kovalenko,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Cerioporus,Cerioporus varius
35,"Amaropostia stiptica (Pers.) B.K.Cui, L.L.Shen & Y.C.Dai",Fungi,Basidiomycota,Agaricomycetes,Polyporales,,Amaropostia,Amaropostia stiptica
34,Cortinarius traganus (Fr.) Fr.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius traganus
34,Grifola frondosa (Dicks.) Gray,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Grifolaceae,Grifola,Grifola frondosa
34,Russula cyanoxantha (Schaeff.) Fr.,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula cyanoxantha
34,Gymnopilus luteus (Peck) Hesler,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Gymnopilus,Gymnopilus luteus
33,Pholiota aurivella (Batsch) P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Pholiota,Pholiota aurivella
33,Trametes ochracea (Pers.) Gilb. & Ryvarden,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,Trametes ochracea
33,Onnia tomentosa (Fr.) P.Karst.,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Onnia,Onnia tomentosa
33,Tricholomopsis decora (Fr.) Singer,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholomopsis,Tricholomopsis decora
32,"Craterellus ignicolor (R.H.Petersen) Dahlman, Danell & Spatafora",Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Craterellus,Craterellus ignicolor
32,Hydnum repandum L.,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Hydnum,Hydnum repandum
32,Gliophorus laetus (Pers.) Herink,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Gliophorus,Gliophorus laetus
32,Tricholoma magnivelare (Peck) Redhead,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,Tricholoma magnivelare
32,Amanita wellsii (Murrill) Murrill,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita wellsii
32,Ramaria stricta (Pers.) Quél.,Fungi,Basidiomycota,Agaricomycetes,Gomphales,Gomphaceae,Ramaria,Ramaria stricta
32,Lentinellus ursinus (Fr.) Kühner,Fungi,Basidiomycota,Agaricomycetes,Russulales,Auriscalpiaceae,Lentinellus,Lentinellus ursinus
32,Vitreoporus dichrous (Fr.) Zmitr.,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Vitreoporus,Vitreoporus dichrous
31,Sebacina sparassoidea (Lloyd) P.Roberts,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Sebacina,Sebacina sparassoidea
31,Panaeolina foenisecii (Pers.) Maire,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Panaeolina,Panaeolina foenisecii
31,Pholiota squarrosa (Vahl) P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Pholiota,Pholiota squarrosa
31,Suillus cavipes (Klotzsch) A.H.Sm. & Thiers,Fungi,Basidiomycota,Agaricomycetes,Boletales,Suillaceae,Suillus,Suillus cavipes
31,Clavulinopsis corniculata (Schaeff.) Corner,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavulinopsis,Clavulinopsis corniculata
31,"Baorangia bicolor (Kuntze) G.Wu, Halling & Zhu L.Yang",Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Baorangia,Baorangia bicolor
31,Agrocybe praecox (Pers.) Fayod,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Agrocybe,Agrocybe praecox
30,Retiboletus ornatipes (Peck) Manfr.Binder & Bresinsky,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Retiboletus,Retiboletus ornatipes
30,Conocybe apala (Fr.) Arnolds,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe,Conocybe apala
30,Laccaria bicolor (Maire) P.D.Orton,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,Laccaria bicolor
30,Hebeloma mesophaeum (Pers.) Quél.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Hebeloma,Hebeloma mesophaeum
30,Armillaria sinapina Bérubé & Dessur.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Armillaria,Armillaria sinapina
30,Baeospora myriadophylla (Peck) Singer,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Baeospora,Baeospora myriadophylla
30,Hygrocybe miniata (Fr.) P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrocybe,Hygrocybe miniata
30,Amanita citrina Pers.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita citrina
30,Tylopilus rubrobrunneus Mazzer & A.H.Sm.,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Tylopilus,Tylopilus rubrobrunneus
30,Amanita porphyria Alb. & Schwein.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita porphyria
30,Amanita velatipes G.F.Atk.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita velatipes
30,"Sutorius eximius (Peck) Halling, Nuhn & Osmundson",Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Sutorius,Sutorius eximius
30,Cortinarius collinitus (Sowerby) Gray,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius collinitus
30,Hapalopilus rutilans (Pers.) Murrill,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Hapalopilus,Hapalopilus rutilans
30,Neolentinus lepideus (Fr.) Redhead & Ginns,Fungi,Basidiomycota,Agaricomycetes,Gloeophyllales,Gloeophyllaceae,Neolentinus,Neolentinus lepideus
30,Collybiopsis confluens (Pers.) R.H.Petersen,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Collybiopsis,Collybiopsis confluens
29,Amanita virosa Bertill.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita virosa
29,Punctularia strigosozonata (Schwein.) P.H.B.Talbot,Fungi,Basidiomycota,Agaricomycetes,Corticiales,Punctulariaceae,Punctularia,Punctularia strigosozonata
28,Xerocomus subtomentosus (L.) Quél.,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomus,Xerocomus subtomentosus
28,"Ampulloclitocybe clavipes (Pers.) Redhead, Lutzoni, Moncalvo & Vilgalys",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Ampulloclitocybe,Ampulloclitocybe clavipes
28,Cantharellus cinnabarinus (Schwein.) Schwein.,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Cantharellus,Cantharellus cinnabarinus
28,Lycoperdon marginatum Vittad.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Lycoperdon,Lycoperdon marginatum
28,Lactarius vinaceorufescens A.H.Sm.,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius vinaceorufescens
28,Entoloma chalybaeum (Fr.) Noordel.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma chalybaeum
28,Suillus granulatus (L.) Roussel,Fungi,Basidiomycota,Agaricomycetes,Boletales,Suillaceae,Suillus,Suillus granulatus
27,Leccinum holopus (Rostk.) Watling,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,Leccinum holopus
27,Mycena pura (Pers.) P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,Mycena pura
27,Stropharia rugosoannulata Farl. ex Murrill,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Stropharia,Stropharia rugosoannulata
27,Russula fragilis Fr.,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula fragilis
27,Cuphophyllus pratensis (Pers.) Bon,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cuphophyllus,Cuphophyllus pratensis
27,Amanita vaginata (Bull.) Lam.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita vaginata
27,Tricholoma pessundatum (Fr.) Quél.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,Tricholoma pessundatum
27,Cortinarius evernius (Fr.) Fr.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius evernius
26,Hydnellum caeruleum (Hornem.) P.Karst.,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Bankeraceae,Hydnellum,Hydnellum caeruleum
26,Phallus indusiatus Vent.,Fungi,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,Phallus,Phallus indusiatus
26,Collybia tuberosa (Bull.) P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Collybia,Collybia tuberosa
26,Pholiota granulosa (Peck) A.H.Sm. & Hesler,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Pholiota,Pholiota granulosa
26,Clitopilus prunulus (Scop.) P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,Clitopilus prunulus
26,Ganoderma lucidum (Curtis) P.Karst.,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Ganoderma,Ganoderma lucidum
26,Cuphophyllus virgineus (Wulfen) Kovalenko,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cuphophyllus,Cuphophyllus virgineus
26,"Cortinarius iodes Berk. & M.A.Curtis, 1853",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius iodes
26,Imleria badia (Fr.) Vizzini,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Imleria,Imleria badia
26,Rhodofomes roseus (Alb. & Schwein.) Kotl. & Pouzar,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Rhodofomes,Rhodofomes roseus
26,Pholiota spumosa (Fr.) Singer,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Pholiota,Pholiota spumosa
26,Hypsizygus ulmarius (Bull.) Redhead,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Hypsizygus,Hypsizygus ulmarius
26,Bresadolia craterella (Berk. & M.A.Curtis) Audet,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Bresadolia,Bresadolia craterella
25,Cortinarius trivialis J.E.Lange,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius trivialis
25,"Arrhenia epichysium (Pers.) Redhead, Lutzoni, Moncalvo & Vilgalys",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Arrhenia,Arrhenia epichysium
25,Stropharia caerulea Kreisel,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Stropharia,Stropharia caerulea
25,Hygrocybe chlorophana (Fr.) Wünsche,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrocybe,Hygrocybe chlorophana
25,Antrodiella semisupina (Berk. & M.A.Curtis) Ryvarden,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Steccherinaceae,Antrodiella,Antrodiella semisupina
25,Clavaria fumosa Pers.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,Clavaria fumosa
25,Lactarius helvus (Fr.) Fr.,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius helvus
25,Melanoleuca davisiae (Peck) Murrill,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Melanoleuca,Melanoleuca davisiae
25,Boletus paluster Peck,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus paluster
25,Boletus edulis Bull.,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,Boletus edulis
25,Lactarius torminosus (Schaeff.) Pers.,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius torminosus
25,Rickenella fibula (Bull.) Raithelh.,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Rickenellaceae,Rickenella,Rickenella fibula
24,Merismodes fasciculata (Schwein.) Donk,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Niaceae,Merismodes,Merismodes fasciculata
24,Tricholomopsis rutilans (Schaeff.) Singer,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholomopsis,Tricholomopsis rutilans
24,Steccherinum ochraceum (Pers. ex J.F.Gmel.) Gray,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Steccherinaceae,Steccherinum,Steccherinum ochraceum
24,Clitocybula oculus (Peck) Singer,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Clitocybula,Clitocybula oculus
24,Pholiota squarrosoides (Peck) Sacc.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Pholiota,Pholiota squarrosoides
24,Postia balsamea (Peck) Jülich,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Dacryobolaceae,Postia,Postia balsamea
24,Lactarius rufus (Scop.) Fr.,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius rufus
24,Tricholoma transmutans (Peck) Sacc.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,Tricholoma transmutans
24,"Lactarius subpurpureus Peck, 1878",Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius subpurpureus
24,Postia tephroleuca (Fr.) Jülich,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Dacryobolaceae,Postia,Postia tephroleuca
24,Neoantrodia variiformis (Peck) Audet,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Neoantrodia,Neoantrodia variiformis
24,Cortinarius armeniacus (Schaeff.) Zawadzki,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius armeniacus
23,Xerocomellus chrysenteron (Bull.) Šutara,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,Xerocomellus chrysenteron
23,Coltricia cinnamomea (Jacq.) Murrill,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Coltricia,Coltricia cinnamomea
23,Gomphidius glutinosus (Schaeff.) Fr.,Fungi,Basidiomycota,Agaricomycetes,Boletales,Gomphidiaceae,Gomphidius,Gomphidius glutinosus
23,Tectella patellaris (Fr.) Murrill,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Tectella,Tectella patellaris
23,Pseudoarmillariella ectypoides (Peck) Singer,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Pseudoarmillariella,Pseudoarmillariella ectypoides
23,Hygrocybe coccinea (Schaeff.) P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrocybe,Hygrocybe coccinea
23,Russula aeruginea Lindblad ex Fr.,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula aeruginea
23,Russula paludosa Britzelm.,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula paludosa
23,Entoloma sericeum Quél.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma sericeum
23,Crepidotus calolepis (Fr.) P.Karst.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Crepidotaceae,Crepidotus,Crepidotus calolepis
23,Lactarius deceptivus Peck,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius deceptivus
23,Entoloma strictius (Peck) Sacc.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma strictius
23,Cortinarius alboviolaceus (Pers.) Zawadzki,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius alboviolaceus
23,Pseudoboletus parasiticus (Bull.) Šutara,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Pseudoboletus,Pseudoboletus parasiticus
23,"Coprinopsis lagopus (Fr.) Redhead, Vilgalys & Moncalvo",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis lagopus
22,Xanthoconium affine (Peck) Singer,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xanthoconium,Xanthoconium affine
22,Laccaria laccata (Scop.) Cooke,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,Laccaria laccata
22,Clitocybe odora (Bull.) P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Clitocybe,Clitocybe odora
22,Hygrophorus pudorinus (Fr.) Fr.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrophorus,Hygrophorus pudorinus
22,Albatrellus ovinus (Schaeff.) Kotl. & Pouzar,Fungi,Basidiomycota,Agaricomycetes,Russulales,Albatrellaceae,Albatrellus,Albatrellus ovinus
22,Inocybe lacera (Fr.) P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe lacera
22,Cortinarius chrysolitus Kauffman,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius chrysolitus
22,Sarcodon stereosarcinon Wehm.,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Bankeraceae,Sarcodon,Sarcodon stereosarcinon
22,Crepidotus applanatus (Pers.) P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Crepidotaceae,Crepidotus,Crepidotus applanatus
22,Agaricus arvensis Schaeff.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus arvensis
22,Cryptoporus volvatus (Peck) Shear,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Cryptoporus,Cryptoporus volvatus
22,"Connopus acervatus (Fr.) K.W.Hughes, Mather & R.H.Petersen",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Connopus,Connopus acervatus
22,Tubaria furfuracea (Pers.) Gillet,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tubariaceae,Tubaria,Tubaria furfuracea
22,Entoloma incanum (Fr.) Hesler,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma incanum
21,Inocybe flocculosa Sacc.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe flocculosa
21,Laccaria amethystina Cooke,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,Laccaria amethystina
21,Catathelasma ventricosum (Peck) Singer,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Biannulariaceae,Catathelasma,Catathelasma ventricosum
21,Abortiporus biennis (Bull.) Singer,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Abortiporus,Abortiporus biennis
21,Russula emetica (Schaeff.) Pers.,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula emetica
21,Gomphus clavatus (Pers.) Gray,Fungi,Basidiomycota,Agaricomycetes,Gomphales,Gomphaceae,Gomphus,Gomphus clavatus
21,Crepidotus crocophyllus (Berk.) Sacc.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Crepidotaceae,Crepidotus,Crepidotus crocophyllus
21,Pluteus chrysophlebius (Berk. & M.A.Curtis) Sacc.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Pluteus,Pluteus chrysophlebius
21,Tricholoma focale (Fr.) Ricken,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,Tricholoma focale
21,Tricholoma virgatum (Fr.) P.Kumm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,Tricholoma virgatum
